,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,El Jicaro,8,GT,1551149843,69,14.91,-89.89,65.57,1.59
1,Broken Hill,20,AU,1551146400,13,-31.97,141.45,89.6,5.82
2,Avera,1,US,1551149822,70,33.19,-82.53,48.99,4.38
3,Avarua,0,CK,1551148200,65,-21.21,-159.78,82.4,13.87
4,Mayumba,92,GA,1551149849,100,-3.44,10.65,80.15,4.05
5,Constitucion,5,MX,1551145320,22,23.99,-104.67,68.0,24.16
6,Hilo,1,US,1551149783,53,19.71,-155.08,77.0,10.29
7,Longyearbyen,75,NO,1551149400,58,78.22,15.63,-2.21,2.24
8,Albany,90,US,1551149825,73,42.65,-73.75,26.6,19.46
9,Bethel,90,US,1551146160,74,60.79,-161.76,39.2,16.11
10,Arraial do Cabo,64,BR,1551149858,93,-22.97,-42.02,76.86,4.38
11,Barrow,32,AR,1551149859,69,-38.31,-60.23,48.33,11.32
12,Thompson,40,CA,1551146400,63,55.74,-97.86,-11.21,6.93
13,Ushuaia,75,AR,1551146400,81,-54.81,-68.31,44.6,18.34
14,Atuona,0,PF,1551149863,100,-9.8,-139.03,81.45,6.73
15,Grand Gaube,75,MU,1551149642,83,-20.01,57.66,80.6,6.93
16,Mehamn,0,NO,1551149866,81,71.03,27.85,16.11,3.38
17,Cape Town,75,ZA,1551149567,100,-33.93,18.42,69.01,12.75
18,Krasnyy Yar,92,RU,1551149868,94,50.7,44.73,26.28,7.52
19,Mataura,12,NZ,1551149406,63,-46.19,168.86,64.99,11.99
20,Port Alfred,88,ZA,1551149839,93,-33.59,26.89,69.01,7.0
21,Khatanga,36,RU,1551149872,49,71.98,102.47,-17.55,5.5
22,Saint-Philippe,90,CA,1551149831,61,45.36,-73.48,17.01,9.17
23,Vaini,0,IN,1551146400,59,15.34,74.49,62.6,2.26
24,Rikitea,80,PF,1551149876,100,-23.12,-134.97,80.42,11.43
25,Hermanus,56,ZA,1551149189,81,-34.42,19.24,70.0,1.01
26,Georgetown,20,GY,1551146400,94,6.8,-58.16,73.4,4.7
27,Seoul,1,KR,1551147600,38,37.57,126.98,44.6,3.36
28,Mattru,0,SL,1551149882,84,7.62,-11.83,75.92,4.27
29,Chico,90,US,1551149647,87,39.73,-121.84,51.01,17.22
30,Annau,90,TM,1551146400,75,37.89,58.52,42.8,2.24
31,Pevek,64,RU,1551149886,99,69.7,170.27,-9.14,7.74
32,Ornskoldsvik,0,SE,1551147600,65,63.29,18.72,44.6,23.04
33,Fort Nelson,75,CA,1551146400,85,58.81,-122.69,10.4,3.27
34,Tanete,20,ID,1551149890,81,-3.94,119.78,85.68,6.62
35,Airai,36,TL,1551149891,77,-8.93,125.41,81.54,0.69
36,Tawang,0,BT,1551149892,51,27.59,91.87,34.07,1.7
37,Lorengau,44,PG,1551149894,96,-2.02,147.27,83.34,5.73
38,Talaya,40,RU,1551149727,78,55.79,84.89,12.99,15.66
39,Kapaa,75,US,1551149598,60,22.08,-159.32,78.8,13.87
40,Esperance,75,TT,1551149707,88,10.24,-61.45,75.2,5.84
41,Vestmanna,88,FO,1551149400,93,62.16,-7.17,48.2,14.99
42,Bluff,8,AU,1551149900,36,-23.58,149.07,89.01,10.76
43,Lata,68,IN,1551149902,87,30.78,78.62,31.82,1.92
44,Saint George,20,GR,1551149600,54,39.45,22.34,37.4,1.59
45,Cockburn Town,0,TC,1551149896,100,21.46,-71.14,76.95,19.37
46,Busselton,80,AU,1551149706,23,-33.64,115.35,91.0,4.16
47,Tuktoyaktuk,40,CA,1551146400,84,69.44,-133.03,8.6,12.75
48,Butaritari,68,KI,1551149908,100,3.07,172.79,83.84,17.13
49,Broome,0,GB,1551149898,80,52.47,1.45,41.0,2.24
50,Punta Arenas,75,CL,1551149586,81,-53.16,-70.91,50.0,28.86
51,Antalaha,88,MG,1551149913,96,-14.9,50.28,76.77,6.4
52,Llata,76,PE,1551149914,96,-9.55,-76.82,43.56,1.7
53,Jamestown,0,AU,1551149916,22,-33.21,138.6,89.64,8.3
54,Castro,20,CL,1551146400,76,-42.48,-73.76,53.6,14.99
55,Sao Filipe,20,CV,1551149919,89,14.9,-24.5,72.32,13.78
56,Chapais,90,CA,1551148860,69,49.78,-74.86,-9.41,19.46
57,Mossendjo,92,CG,1551149921,96,-2.95,12.72,73.53,2.37
58,Katete,0,UG,1551149923,81,-0.78,29.75,56.25,2.59
59,Zonguldak,80,TR,1551149924,100,41.25,31.83,37.26,1.59
60,Iqaluit,40,CA,1551149561,75,63.75,-68.52,-16.01,3.15
61,Carnarvon,0,ZA,1551149927,42,-30.97,22.13,58.19,7.74
62,Sao Joao da Barra,80,BR,1551149928,94,-21.64,-41.05,83.75,21.72
63,Villarrica,0,CL,1551149112,66,-39.28,-72.23,53.6,5.82
64,Norman Wells,40,CA,1551146400,73,65.28,-126.83,21.2,14.99
65,Portland,90,US,1551149722,80,45.52,-122.67,35.01,6.93
66,Caldwell,90,US,1551149823,57,43.67,-116.69,53.6,16.11
67,Yellowknife,40,CA,1551149596,76,62.45,-114.38,-4.01,3.36
68,Chokurdakh,8,RU,1551149936,47,70.62,147.9,-29.39,2.93
69,Srednekolymsk,0,RU,1551149937,69,67.46,153.71,-15.75,3.38
70,Jurbarkas,80,LT,1551149939,91,55.08,22.76,31.59,10.31
71,Egvekinot,80,RU,1551149940,83,66.32,-179.17,13.14,7.74
72,Alta Floresta,20,BR,1551146400,94,-9.87,-56.08,75.2,3.36
73,Mahina,0,ML,1551149943,34,13.76,-10.85,63.59,10.98
74,Nanortalik,24,GL,1551149944,97,60.14,-45.24,34.07,9.08
75,Torbay,90,CA,1551149615,100,47.66,-52.73,32.0,13.87
76,Kaitangata,8,NZ,1551149947,47,-46.28,169.85,70.47,18.14
77,Palmer,0,AU,1551149903,33,-34.85,139.16,98.01,12.75
78,Hawera,0,NZ,1551149591,44,-39.59,174.28,70.0,5.99
79,Paamiut,36,GL,1551149951,100,61.99,-49.67,26.46,16.13
80,Lavrentiya,88,RU,1551149952,96,65.58,-170.99,32.99,23.51
81,Mandalgovi,20,MN,1551149954,81,45.76,106.27,23.31,5.39
82,Tiksi,56,RU,1551149955,69,71.64,128.87,-1.94,2.71
83,Morant Bay,20,JM,1551146400,65,17.88,-76.41,80.6,5.82
84,Takoradi,20,GH,1551149958,100,4.89,-1.75,81.63,10.65
85,Coaticook,90,CA,1551149871,78,45.13,-71.8,14.0,23.04
86,East London,8,ZA,1551149663,99,-33.02,27.91,76.5,6.96
87,Redmond,90,US,1551149872,44,47.67,-122.12,39.2,9.17
88,Dikson,80,RU,1551149963,90,73.51,80.55,11.61,9.53
89,Cidreira,88,BR,1551149964,87,-30.17,-50.22,68.45,6.85
90,Victoria,75,BN,1551148200,83,5.28,115.24,84.2,6.93
91,Svetlogorsk,20,RU,1551148200,84,53.14,59.15,1.4,2.24
92,Okha,32,RU,1551149969,94,53.59,142.95,9.95,10.42
93,Am Timan,92,TD,1551149970,93,11.04,20.28,69.8,7.07
94,Kaihua,36,CN,1551149972,75,29.14,118.41,53.28,3.49
95,Aswan,0,EG,1551146400,21,24.09,32.9,71.6,6.93
96,Macusani,48,PE,1551149974,99,-14.07,-70.43,50.85,1.59
97,Trincomalee,32,LK,1551149975,84,8.58,81.23,81.18,4.05
98,Chicama,90,PE,1551146400,88,-7.84,-79.15,75.2,9.17
99,Sangueya,0,GN,1551149978,71,10.7,-14.37,66.51,1.03
100,Berlevag,0,NO,1551149979,100,70.86,29.09,17.91,3.6
101,Sibolga,20,ID,1551149981,83,1.74,98.78,79.02,2.37
102,Vila Velha,20,BR,1551150000,88,-3.71,-38.6,77.0,7.96
103,Fernie,90,CA,1551149129,47,49.5,-115.06,14.0,6.93
104,Rio Gallegos,40,AR,1551146400,87,-51.62,-69.22,50.0,17.22
105,Jumla,80,NP,1551149986,88,29.28,82.18,19.44,1.81
106,Pangnirtung,36,CA,1551149988,80,66.15,-65.72,-18.9,3.83
107,Northam,0,GB,1551149775,86,51.04,-4.21,48.0,2.24
108,Puerto Ayora,88,EC,1551149869,100,-0.74,-90.35,76.86,4.94
109,Christchurch,8,NZ,1551149585,40,-43.53,172.64,73.0,16.11
110,Okato,0,NZ,1551149591,44,-39.19,173.88,70.0,5.99
111,Colares,0,PT,1551149976,81,38.8,-9.45,57.99,4.7
112,Fortuna,0,ES,1551149974,70,38.18,-1.13,46.99,8.05
113,Mount Gambier,0,AU,1551147660,47,-37.83,140.78,78.8,18.34
114,Bredasdorp,64,ZA,1551149189,81,-34.53,20.04,70.0,1.01
115,Abay,75,KZ,1551148200,85,49.63,72.87,19.4,24.61
116,Simao,0,CN,1551150002,76,22.76,100.79,65.3,2.48
117,Mount Isa,40,AU,1551148200,43,-20.73,139.49,89.6,12.75
118,Fairbanks,1,US,1551149948,66,64.84,-147.72,26.01,2.59
119,Welkom,0,ZA,1551149191,86,-27.98,26.74,55.99,6.96
120,Kruisfontein,12,ZA,1551149982,84,-34.0,24.73,61.56,8.86
121,Huarmey,48,PE,1551150013,82,-10.07,-78.15,68.99,3.15
122,Clyde River,1,CA,1551146400,73,70.47,-68.59,-29.21,2.24
123,Rio Grande,20,BR,1551150016,99,-32.03,-52.1,67.5,7.63
124,Benguela,0,AO,1551150017,100,-12.58,13.4,78.03,4.83
125,Narsaq,80,GL,1551145800,34,60.91,-46.05,35.6,14.99
126,Wufeng,75,TW,1551150016,77,24.63,121.12,73.0,21.92
127,Kaele,20,CM,1551150023,50,10.11,14.45,69.03,4.05
128,Kota Belud,75,MY,1551148200,70,6.35,116.43,87.8,6.93
129,Canillo,0,FR,1551150023,31,42.57,1.6,46.0,1.59
130,Hobart,75,AU,1551149896,59,-42.88,147.33,63.0,8.05
131,Santo Antonio do Ica,24,BR,1551150028,96,-3.1,-67.94,75.33,2.71
132,Leningradskiy,80,RU,1551150029,93,69.38,178.42,-4.59,6.17
133,Kahului,20,US,1551150027,60,20.89,-156.47,80.6,13.87
134,Namibe,48,AO,1551150032,100,-15.19,12.15,75.42,7.85
135,Chuy,0,UY,1551150033,91,-33.69,-53.46,57.24,10.42
136,Ulladulla,0,AU,1551146400,32,-35.36,150.48,84.2,9.17
137,Lompoc,1,US,1551149803,87,34.64,-120.46,54.0,3.36
138,San Quintin,36,PH,1551150037,52,17.54,120.52,82.8,3.04
139,New Norfolk,75,AU,1551150016,59,-42.78,147.06,63.0,8.05
140,Isla Vista,1,US,1551150031,87,34.41,-119.86,55.99,3.36
141,Hithadhoo,88,MV,1551150041,100,-0.6,73.08,78.75,8.97
142,Sandwick,0,GB,1551150027,83,54.57,-2.89,46.99,13.87
143,Santa Cruz Cabralia,40,BR,1551150000,83,-16.28,-39.02,80.6,4.7
144,Lagos,20,NG,1551146400,94,6.46,3.39,78.8,2.24
145,Covington,1,US,1551150022,49,35.56,-89.65,51.01,4.7
146,Espanola,36,CA,1551149206,77,46.27,-81.77,7.0,1.99
147,Bone,40,ID,1551148200,66,-10.32,123.57,91.4,2.24
148,Hun,0,BE,1551150034,57,50.34,4.87,50.0,4.7
149,Bilibino,76,RU,1551150053,57,68.06,166.44,-12.92,3.15
150,Souillac,0,FR,1551150009,93,45.6,-0.6,44.6,2.24
151,Tibiri,0,NE,1551150055,57,13.59,7.06,62.82,3.6
152,Klaksvik,92,FO,1551149400,93,62.23,-6.59,48.2,14.99
153,Presidencia Roque Saenz Pena,56,AR,1551150058,81,-26.79,-60.44,70.83,9.53
154,Murray Bridge,0,AU,1551150003,10,-35.12,139.28,98.01,3.0
155,Veraval,0,FR,1551149995,70,49.65,0.71,46.4,4.7
156,Luderitz,0,NA,1551149976,67,-26.65,15.16,64.22,12.1
157,Grenfell,88,AU,1551150063,85,-33.9,148.16,74.7,4.05
158,Tasiilaq,92,GL,1551145800,92,65.61,-37.64,28.4,13.56
159,Saint-Georges,68,CA,1551150011,86,46.12,-70.67,9.0,11.99
160,Hervey Bay,92,AU,1551150009,37,-25.3,152.85,86.0,17.22
161,Killybegs,68,IE,1551149824,83,54.63,-8.45,48.99,5.01
162,Yaan,88,NG,1551150070,98,7.38,8.57,70.92,4.72
163,Zhigansk,68,RU,1551150071,74,66.77,123.37,-3.29,11.77
164,Skjervoy,88,NO,1551150073,100,70.03,20.97,35.1,19.15
165,Faanui,32,PF,1551150074,100,-16.48,-151.75,83.97,6.51
166,Praia da Vitoria,20,PT,1551149201,87,38.73,-27.07,50.0,27.31
167,Ribeira Grande,36,PT,1551150077,100,38.52,-28.7,55.71,30.22
168,Iskateley,12,RU,1551150078,73,67.68,53.15,7.92,14.67
169,Lebu,0,ET,1551150079,82,8.96,38.73,40.68,2.93
170,Talcahuano,0,CL,1551146400,71,-36.72,-73.12,57.2,8.05
171,Sangar,68,RU,1551150082,63,63.92,127.47,-8.64,11.77
172,Zambezi,8,ZM,1551150083,85,-13.55,23.12,65.97,2.37
173,Inhambane,56,MZ,1551150085,97,-23.87,35.38,76.23,2.15
174,Archidona,88,EC,1551150086,95,-0.91,-77.81,59.72,2.59
175,Rincon,1,US,1551150081,81,32.3,-81.24,55.0,3.6
176,Araouane,0,ML,1551150089,26,18.9,-3.53,53.01,12.44
177,Inuvik,40,CA,1551146400,79,68.36,-133.71,21.2,3.36
178,Ust-Ilimsk,76,RU,1551150092,70,57.96,102.73,19.17,7.4
179,Shaunavon,64,CA,1551150093,63,49.65,-108.41,-10.22,5.17
180,Cayenne,92,GF,1551148200,78,4.94,-52.33,78.8,14.99
181,Taoudenni,0,ML,1551150096,28,22.68,-3.98,51.89,14.67
182,Flin Flon,0,CA,1551150008,56,54.77,-101.88,-6.21,6.73
183,Hobyo,92,SO,1551150099,91,5.35,48.53,76.77,14.79
184,Olinda,75,EC,1551150013,79,-2.03,-79.75,84.2,8.05
185,Kutum,80,SD,1551150102,43,14.2,24.66,72.14,3.6
186,Rocha,0,UY,1551150103,79,-34.48,-54.34,47.79,3.94
187,Atbasar,92,KZ,1551150105,83,51.81,68.36,13.5,3.71
188,Namatanai,36,PG,1551150106,100,-3.66,152.44,83.12,5.39
189,Luganville,92,VU,1551150107,100,-15.51,167.18,80.64,7.18
190,Belyy Yar,0,RU,1551148200,58,53.6,91.39,24.8,2.24
191,Coquimbo,0,CL,1551146400,82,-29.95,-71.34,60.8,5.28
192,Sorland,20,NO,1551150111,100,67.67,12.69,39.78,18.48
193,Port Moresby,40,PG,1551146400,55,-9.47,147.16,89.6,11.41
194,Porbandar,40,IN,1551146400,93,21.64,69.61,66.2,2.24
195,Mbandaka,56,CD,1551150115,92,0.05,18.26,76.05,4.38
196,Mvomero,92,TZ,1551150117,97,-6.3,37.45,70.56,1.7
197,Fairview,1,US,1551149824,36,40.81,-74.0,33.01,19.46
198,Riberalta,0,BO,1551150121,85,-11.0,-66.08,74.52,2.93
199,Chignahuapan,20,MX,1551150122,88,19.84,-98.03,49.68,0.36
200,Den Helder,90,NL,1551150093,93,52.96,4.76,39.99,4.7
201,Tezu,92,IN,1551150125,100,27.93,96.16,48.06,1.03
202,Talnakh,80,RU,1551150127,82,69.49,88.39,12.24,25.64
203,Port Hawkesbury,90,CA,1551150103,92,45.62,-61.36,30.0,17.22
204,San Isidro,36,PH,1551150130,80,16.74,121.63,78.84,4.5
205,Ostrovnoy,80,RU,1551150132,89,68.05,39.51,22.05,12.66
206,Port Hedland,0,AU,1551148200,63,-20.31,118.58,95.0,13.87
207,Bria,36,CF,1551150135,90,6.54,21.99,68.49,2.82
208,Bubaque,0,GW,1551150136,95,11.28,-15.83,78.39,14.56
209,Vilhena,64,BR,1551150044,97,-12.74,-60.15,69.44,2.15
210,Iranshahr,0,IR,1551146400,43,27.21,60.69,55.4,4.7
211,Samarai,0,PG,1551150140,100,-10.62,150.67,83.25,6.96
212,Coahuayana,0,MX,1551150141,61,18.62,-100.35,67.95,2.15
213,Ilulissat,56,GL,1551145800,85,69.22,-51.1,10.4,5.82
214,Port Elizabeth,1,US,1551150139,34,39.31,-74.98,39.0,8.05
215,Bambous Virieux,75,MU,1551149942,83,-20.34,57.76,80.6,6.93
216,Lazaro Cardenas,40,MX,1551145380,15,28.39,-105.62,68.0,6.93
217,Pisco,40,PE,1551146400,78,-13.71,-76.2,75.2,16.11
218,Grindavik,90,IS,1551148200,100,63.84,-22.43,46.4,10.29
219,Aklavik,40,CA,1551146400,79,68.22,-135.01,21.2,3.36
220,Mar del Plata,68,AR,1551150152,83,-46.43,-67.52,48.96,5.17
221,Pitimbu,20,BR,1551146400,88,-7.47,-34.81,80.6,3.36
222,Casteldaccia,0,IT,1551150091,70,38.05,13.53,46.4,14.99
223,Katsuura,40,JP,1551148941,69,33.93,134.5,51.8,13.87
224,Baoding,88,CN,1551150157,61,38.86,115.49,41.72,4.61
225,Upernavik,36,GL,1551150158,100,72.79,-56.15,2.07,6.96
226,Nome,90,US,1551150135,93,30.04,-94.42,55.0,8.05
227,Barabai,20,ID,1551150161,74,-2.59,115.38,87.44,3.27
228,Qaanaaq,0,GL,1551150163,86,77.48,-69.36,-15.17,5.73
229,Bilma,92,NE,1551150164,29,18.69,12.92,57.06,11.32
230,Salalah,0,OM,1551145800,36,17.01,54.1,80.6,17.22
231,Caucaia,20,BR,1551150000,88,-3.73,-38.66,77.0,7.96
232,Nikolskoye,0,RU,1551150005,86,59.7,30.79,35.01,13.42
233,Faridkot,8,IN,1551150169,93,30.67,74.75,47.88,4.16
234,Muravlenko,80,RU,1551150170,86,63.79,74.5,19.85,17.81
235,Caravelas,12,BR,1551150172,100,-17.73,-39.27,83.84,19.26
236,Ammon,90,US,1551150086,80,43.47,-111.97,39.2,17.22
237,Provideniya,90,RU,1551148200,93,64.42,-173.23,32.0,26.84
238,Kavaratti,32,IN,1551150110,100,10.57,72.64,81.99,9.98
239,Atar,0,MR,1551150177,30,20.52,-13.05,58.19,9.64
240,Margate,75,AU,1551150136,59,-43.03,147.26,63.0,8.05
241,Henties Bay,80,NA,1551150131,88,-22.12,14.28,70.0,1.99
242,Sur,0,OM,1551150181,100,22.57,59.53,67.77,20.94
243,Tutoia,44,BR,1551150183,95,-2.76,-42.27,76.86,6.4
244,Honningsvag,44,NO,1551150184,100,70.98,25.97,23.31,7.4
245,Pontianak,76,ID,1551148200,78,-0.02,109.34,82.4,3.36
246,Ponta do Sol,8,BR,1551150187,95,-20.63,-46.0,66.42,3.38
247,Santiago del Estero,68,AR,1551150000,85,-27.8,-64.26,69.84,9.19
248,Ajdabiya,0,LY,1551150189,87,30.75,20.22,38.79,3.15
249,Shingu,0,JP,1551146400,44,33.72,135.99,57.2,16.11
250,Half Moon Bay,90,US,1551150029,71,37.46,-122.43,57.2,17.22
251,Greymouth,8,NZ,1551150194,86,-42.45,171.21,62.6,6.17
252,Coihaique,0,CL,1551146400,81,-45.58,-72.07,48.2,2.24
253,Mizan Teferi,0,ET,1551150086,90,6.99,35.58,56.52,2.59
254,Cabo San Lucas,20,MX,1551149232,68,22.89,-109.91,68.0,4.7
255,Axim,20,GH,1551150199,98,4.87,-2.24,82.8,13.89
256,Tuy Hoa,88,VN,1551150200,96,13.08,109.3,76.05,7.29
257,Evensk,76,RU,1551150201,100,61.92,159.24,-2.57,7.18
